keyword,source,username,created_at,content_text,url,type,page_title,page_text_snippet,scraped_at
王飞跃,s.weibo.com,蒸湘交警,2025年04月03日 11:32,【清明祭英烈 初心永传承】警徽熠熠，青山肃穆。今日，蒸湘交警大队单位组织新警赴烈士陵园，开展清明祭奠公安英模活动。  全体新警肃立默哀，向长眠于此的公安英模敬献白菊。一束鲜花，一份追思，致敬用生命守护平安的无畏英魂，在英模墓碑前，蒸湘大队大队长张广琳讲述英模王飞跃壮烈牺牲的故事， ​展开c,https://weibo.com/detail/5151308701238259,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,IEEEJAS,2025年04月01日 09:41,"沈甜雨,  陶子锐,  王亚东,  张庭祯,  刘宇航,  王兴霞,  杨静,  李志伟,  陈龙,  王坤峰,  王飞跃.  具身智能研究的关键问题: 自主感知、行动与进化.#自动化学报 ,  2025, 51(1): 43−71 doi:  10.16383/j.aas.c240364   #具身智能#感知与执行 #学习与进化 #机器人系统LIEEEJAS的微博视频​",https://weibo.com/detail/5150555946880094,post,,,2026-01-05 09:59:32
王飞跃,external_link,,,,http://t.cn/A6r20cXj,link_content,视频 - 微博,视频 - 微博 微博视频,2026-01-05 10:00:01
王飞跃,s.weibo.com,高飞,2024年11月16日 10:15,#提示工程师#王飞跃：提示工程师就是信息世界的快递小哥。解释一下，物理世界世界的运输者是快递，在信息世界，把信息从模型创造和搬运过来，就是提示工程。王老师还有一个判断，AI注定黑箱，不可解释只能治理。 ​,https://weibo.com/detail/5101279754586030,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,王飞跃Fei-YueWang,2024年12月27日 06:56,【喜报】热烈祝贺中国自动化学会监事长王飞跃教授荣获 IEEE SMC Lotfi A. Zadeh 开拓奖！O网页链接O网页链接​,https://weibo.com/detail/5116087660970736,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,凤凰网科技,2023年05月16日 22:08,【#AI 前哨#｜对话中科院王飞跃：过度炒作ChatGPT干扰大众认知，只是少数】#专家称ChatGPT被过度炒作#2023年，世界正处于人工智能发展的快车道上，各行各业都在寻求通过人工智能技术实现转型升级。然而，与此同时，人工智能的安全性问题也受到各方的关注和反思。最近，特斯拉首席执行官埃隆·马斯克与 ​展开c,https://weibo.com/detail/4902145872631471,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,科学网,2022年11月18日 16:38,【直播回放｜一群科学家，推翻了牛顿—王飞跃导读《复杂》】直播时间：2022年11月19日（周六）20：00届时，科学网微博将同步直播！点击链接了解详情：O网页链接#科学网直播##复杂系统##复杂性#如果你理解了事物的各个部分，以及把这些部分“整合”起来的机制，你就能够理解这个整体 ​展开c,https://weibo.com/detail/4837195426563955,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,王飞剪纸,2024年12月16日 20:36,大家好！我是王飞，作为非遗剪纸技艺代表性传承人、中原大工匠、酷开大使，我投身于剪纸艺术的传承与创作已有数十载，由衷期望这门传统技艺走进更多人的视野。一直以来，我也是酷开系统的忠实用户，正值@酷开系统《酷开・漫游非遗》上线，我深感荣幸成为首期嘉宾，同时，我与@酷开系统的非遗剪纸 ​展开c,https://weibo.com/detail/5112307608721043,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,批评家高岭,2023年10月02日 15:46,在北京以艺术的名义丈量艺术家强光浩“灵性的脚步”，既能避开节日远行的拥堵困扰，又能与同人师友兰亭畅叙，无疑是最开心的事！图四从左至右:李宜霖、朱春林、杨卫、殷双喜、皮道坚、贾方舟、强光浩夫妇、王飞跃、徐虹、王端廷、高岭、成蹊。[强][强][强][玫瑰][玫瑰][玫瑰][啤酒] ​展开c,https://weibo.com/detail/4952421694964128,post,,,2026-01-05 09:59:32
王飞跃,s.weibo.com,公安部交通管理局,2022年09月30日 16:30,#祖国永不忘记#今天是我国第9个#烈士纪念日#，虽然衡阳交警王飞跃烈士的英魂永远镌入了衡州大地，但他的烈士精神在衡阳公安交警队伍生根发芽、薪火相传，一直激励着衡阳交警尽锐出战，创先奋进！#致敬公安英烈#@衡阳交警L公安部交通管理局的微博视频​,https://weibo.com/detail/4819436240375174,post,,,2026-01-05 09:59:32
